id,ap,an,dev,cat,nod,doa,dsl,ppl,valid
11,com.dhaduk.survil.body.curve.shape.editor.maker.photo.video.image.bodyshapeeditor,Body Editor-Make Me Slim & Fit,Dhaduk Survil,Photography,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.dhaduk.survil.body.curve.shape.editor.maker.photo.video.image.bodyshapeeditor,https://dhaduksurvil.blogspot.com,1
12,com.best.photo.apps.doodle.shape,Photo Sticker,Hairstyle Photo Apps,Photography,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.best.photo.apps.doodle.shape,http://bestphotoapps.ru/privacy-policy.html,1
13,photocollage.videocollage.photoeditor.collagemaker.photogridmaker.photogrid,Photo Collage:  Video Mix Grid,Future Me & Make me old,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=photocollage.videocollage.photoeditor.collagemaker.photogridmaker.photogrid,https://sites.google.com/view/photovideocollagemaker,1
14,pub.text.punjabionphoto,Photo Par Punjabi Likhe,DJ Apps Studio,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=pub.text.punjabionphoto,https://djappsstudioprivacypolicy.wordpress.com,1
15,com.ahihi.blur.image,AI BG Remover - Change BG,CAM EDITOR STUDIO,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.ahihi.blur.image,https://sites.google.com/view/cam-editor-studio,1
16,com.mvltrapps.ugadi.photo.frame.effect,Ugadi photo frames,MVLTR Apps,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.mvltrapps.ugadi.photo.frame.effect,https://mvltrapps.com/privacy-policy.php,1
17,com.mvltrapps.transparentphotoframe,Transparent photo frames,MVLTR Apps,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.mvltrapps.transparentphotoframe,https://mvltrapps.com/privacy-policy.php,1
18,com.sknapps.IslamicPhotoFrames,Islamic Photo Frames,sknapps,Photography,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.sknapps.IslamicPhotoFrames,https://sknapps.blogspot.com/p/privacy-policy-effective-date-january.html,1
19,com.sknapps.RamadanMubarakPhotoFrames,Ramadan Mubarak Photo Frames,sknapps,Photography,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.sknapps.RamadanMubarakPhotoFrames,https://sknapps.blogspot.com/p/privacy-policy-effective-date-january.html,1
20,com.ak41.photoeditor.pip,Photo Collage – Photo Editor,akmobile,Photography,500K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.ak41.photoeditor.pip,https://sites.google.com/view/ak41-policy,1
21,spdate.online.girlsmeet.chat,Spdate - meet singles nearby o,SinglesPath Innovation,Dating,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=spdate.online.girlsmeet.chat,https://spdatechat.blogspot.com/p/spdate-policy.html?m=1,1
22,com.ao.SP360_4K,PIXPRO SP360 4K,JK Imaging Ltd.,Photography,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.ao.SP360_4K,https://www.kodak.com/en/company/page/privacy,1
23,com.td.transdr,Tser: Transgender Dating Chat,Trans dating & TS meet,Dating,500K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.td.transdr,https://tser.app/privacy.html,1
24,com.video.removebackground.removebackground,Photo Remover,UniTiki,Photography,500K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.video.removebackground.removebackground,http://108.61.220.32/policy/policy.html,1
25,com.kingsstore.WomenPattuSareePhotoMaker,Women Pattu Saree Photo Maker,kings store,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.kingsstore.WomenPattuSareePhotoMaker,https://kingsstore14.blogspot.com/p/privacy-policy.html,1
26,com.fbd.location.camera,PhotoStamp: Location Time Date,FB Developers,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.fbd.location.camera,http://adtubeservices.co.in/FBDevelopers/privacy_policy.html,1
27,g3.colorsplash.backgroundsplash.changeeffect,Color splash: Change effect,G.3.K,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=g3.colorsplash.backgroundsplash.changeeffect,https://coloring-book-for-kids-378ed.web.app/,1
28,com.evermatch,Dating and Chat - Evermatch,Evermatch,Dating,10M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.evermatch,https://sites.google.com/view/evermatch/privacy-policy,1
29,g3.cropphoto.photocrop.cutbackground.photoeditor,Circle crop | Photo Cropping,G.3.K,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=g3.cropphoto.photocrop.cutbackground.photoeditor,https://coloring-book-for-kids-378ed.web.app/,1
30,im.twogo.godroid,2go Chat - Chat Rooms & Dating,2go Interactive,Dating,5M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=im.twogo.godroid,https://www.2go.im/privacy,1
31,com.best.photo.app.rabbitface,Cute Rabbit Face,Hairstyle Photo Apps,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.best.photo.app.rabbitface,http://bestphotoapps.ru/privacy-policy.html,1
32,com.app.flirtbees,Flirtbees - Video Chat App,Flirtbees Video Chat App,Dating,10K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.app.flirtbees,https://flirtbees.com/privacy-policy,1
33,freeappshouse.horse.selfie.photo.frames,Horse Photo Frames,Freedom Apps House,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=freeappshouse.horse.selfie.photo.frames,https://docs.google.com/document/d/e/2PACX-1vR-30NJ2cHJZ9BX16jqDVpC4CTmeP0its0UoCyIPMyIIiQiR2p4Dks-_RrRsiDf0cR-ZV6pJkT5bL8B/pub,1
34,com.tyteapp.tyte,"GayRoyal - Dating, Chat, Love",42pixels B.V.,Dating,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.tyteapp.tyte,https://www.gayroyal.com/app/privacy/,1
35,com.datemyage,DateMyAge Mature & Senior Date,Stende Solutions Limited,Dating,1M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.datemyage,https://www.datemyage.com/privacy-policy/,1
36,com.kingsstore.WomenSareePhotoEditor,Women Saree Photo Editor,kings store,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.kingsstore.WomenSareePhotoEditor,https://kingsstore14.blogspot.com/p/privacy-policy.html,1
37,com.atdev.blurryphotoeditor,Blurry Photo Editor,AT Software Developers,Photography,500K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.atdev.blurryphotoeditor,https://atsoftdeveloper.wordpress.com/,1
38,bip.photoeditor.framesforposter,Photo editor: Frame for poster,Bip Studio,Photography,500K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=bip.photoeditor.framesforposter,https://sites.google.com/view/bipstudio,1
39,com.lovevite,Lovevite Chinese Dating (交友约会),Lovevite,Dating,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.lovevite,https://www.lovevite.com/about/privacy,1
40,com.wishant.newbestphotoeditor2018,Photo Editor Studio 2021,Amaze App Developer,Photography,1M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.wishant.newbestphotoeditor2018,https://sites.google.com/view/photo-editor-studio/home,1
41,ringpro.squaregrid.gridmaker,Art pic editor,Ringtones Pro,Photography,500K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=ringpro.squaregrid.gridmaker,https://sites.google.com/view/ring-tone-pro/home,1
42,com.kingsstore.StylishGirlPhotoEditor,Stylish Girl Photo Editor,kings store,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.kingsstore.StylishGirlPhotoEditor,https://kingsstore14.blogspot.com/p/privacy-policy.html,1
43,com.localhookupdating.android,Local Hookup Dating Chat Date,Hook Up Flirting & Dating Apps,Dating,500K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.localhookupdating.android,https://localhookupdating.com/privacy/,1
44,com.madinaphotoframes,Madina Photo Frames,Andro home,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.madinaphotoframes,http://androhomeprivacypolicy.blogspot.com/,1
45,com.best.photo.app.photoonbirthdaycakes,Photo On Birthday Cake,Hairstyle Photo Apps,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.best.photo.app.photoonbirthdaycakes,http://bestphotoapps.ru/privacy-policy.html,1
46,com.jaybhim.jaybhimphotoframes,Jay Bhim Photo Frames,Andro home,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.jaybhim.jaybhimphotoframes,http://androhomeprivacypolicy.blogspot.com/,1
47,com.ahihi.status.tamtrang,Status Tâm Trạng,CAM EDITOR STUDIO,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.ahihi.status.tamtrang,https://sites.google.com/view/cam-editor-studio,1
48,com.kingsstore.WomenDesignerSareePhotoSuit,Women Designer Saree Suits,kings store,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.kingsstore.WomenDesignerSareePhotoSuit,https://kingsstore14.blogspot.com/p/privacy-policy.html,1
49,com.kingsstore.LehengaCholiPhotoEditor,Lehenga Choli Photo Editor,kings store,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.kingsstore.LehengaCholiPhotoEditor,https://kingsstore14.blogspot.com/p/privacy-policy.html,1
50,com.getpure.pure,PURE: Anonymous Dating & Chat,Online Classifieds AG,Dating,5M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.getpure.pure,https://pure.app/policy/,1
51,com.saraswatiphotoframes,Goddess Saraswati Photo Frames,Andro home,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.saraswatiphotoframes,http://androhomeprivacypolicy.blogspot.com/,1
52,com.jesus.jesusphotoframes,Jesus Photo Frames,Andro home,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.jesus.jesusphotoframes,http://androhomeprivacypolicy.blogspot.com/,1
53,com.marathibirthday.marathibirthdayphotoframes,Marathi Birthday Photo Frames,Andro home,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.marathibirthday.marathibirthdayphotoframes,http://androhomeprivacypolicy.blogspot.com/,1
54,com.amolatina,"AmoLatina - Chat, Meet, Date",DMM SOLUTIONS INC.,Dating,1M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.amolatina,https://www.amolatina.com/privacy-policy/,1
55,com.rometic.trulyasian,TrulyAsian - Dating App,ROMETIC,Dating,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.rometic.trulyasian,https://www.trulyasian.com/privacy-policy,1
56,com.best.photo.app.boyhairchanger,Boy Hair Photo Editor,Hairstyle Photo Apps,Photography,5M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.best.photo.app.boyhairchanger,http://bestphotoapps.ru/privacy-policy.html,1
57,com.cla.longhairs.beststyles.hd,Long Hair Style & Editor,creationslogicsart,Photography,500K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.cla.longhairs.beststyles.hd,https://sites.google.com/view/creationslogicsart/home,1
58,com.kingsstore.WomenJeansFashionTops,Women Jeans Fashion Tops,kings store,Photography,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.kingsstore.WomenJeansFashionTops,https://kingsstore14.blogspot.com/p/privacy-policy.html,1
59,com.dating.android,"Dating.com™: Chat, Meet People",DMM SOLUTIONS INC.,Dating,10M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.dating.android,https://www.dating.com/privacy-policy/,1
60,com.acdsystems.acdseephotosync,ACDSee Mobile Sync,ACD Systems International Inc.,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.acdsystems.acdseephotosync,https://www.acdsee.com/en/privacy-policy/,1
61,mobi.skyrock.Smax,Smax - Dating & Meet Singles,Telefun,Dating,1M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=mobi.skyrock.Smax,https://www.smax.com/cgu,1
62,com.Photo.PIP.Camera.Picture_In_Picture.Effects.Filters,PIP Photo Effects Filters,Mobi Softech,Photography,1M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.Photo.PIP.Camera.Picture_In_Picture.Effects.Filters,http://onex-28c2.kxcdn.com/moreapps/MobiSoftech-Privacy-Policy.html,1
63,com.BabyFaceFunnyAgeChangerNisappsNiski,Baby Face Funny Age Changer,nss nis,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.BabyFaceFunnyAgeChangerNisappsNiski,https://katarinakrstic018.wixsite.com/nssnis,1
64,weddingtraditional.couple.suit,Smarty Suit Photo Editor,Tap Tap Studios,Photography,1M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=weddingtraditional.couple.suit,https://www.sotec.es/Mobile_Apps.html,1
65,babypredictor.babygenerator.futurebabyface.app,Guess Your Future Baby's Face!,Photo Lab Studio,Photography,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=babypredictor.babygenerator.futurebabyface.app,https://sites.google.com/view/photolabpolicy/home,1
66,com.kingsstore.StylishDressFashionGirlsNew,Stylish Dress Fashion Girls,kings store,Photography,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.kingsstore.StylishDressFashionGirlsNew,https://kingsstore14.blogspot.com/p/privacy-policy.html,1
67,com.rometic.trulyfilipino,TrulyFilipino - Dating App,ROMETIC,Dating,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.rometic.trulyfilipino,https://www.trulyfilipino.com/privacy-policy,1
68,com.bzezz.starlocator,Binoculars X-C15 Photo & Video,Bzezz,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.bzezz.starlocator,https://sites.google.com/view/bzezz-privacy-policy/home,1
69,com.etoolkit.fitpix.mediavault,FitPix - Photo & Video Vault,eToolkit Inc,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.etoolkit.fitpix.mediavault,https://fitpix.app/privacy-policy,1
70,com.vishnu.vishnubhagwanphotoframes,Vishnu Bhagwan Photo Frames HD,Andro home,Photography,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.vishnu.vishnubhagwanphotoframes,http://androhomeprivacypolicy.blogspot.com/,1
71,com.atsdev.photogridart,Grid Pic - Art Collage,AT Software Developers,Photography,500K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.atsdev.photogridart,https://atsoftdeveloper.wordpress.com/,1
72,com.appbites.waterfountainphotoframes,Water Fountain Photo Frames,App Bites,Photography,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.appbites.waterfountainphotoframes,https://kirakapps.com/privacy_policy.html,1
73,com.eurodate,EuroDate - Dating: Meet People,Asteri Solutions Limited,Dating,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.eurodate,https://www.eurodate.com/privacy-policy/,1
74,com.socialnetwork.hookupsapp,Hookups - Hook up dating app,HookupsApp,Dating,500K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.socialnetwork.hookupsapp,https://www.hookups.dating/hookups/privacy_policy.html,1
75,com.maybeyou,Dating and chat - Maybe You,Evermatch,Dating,10M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.maybeyou,https://sites.google.com/view/maybe-you/privacy-policy,1
76,jsnew.photomixer,PicMix - Photo Collage Maker,Destiny Tool,Photography,500K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=jsnew.photomixer,https://sites.google.com/view/destinytool,1
77,com.kingsstore.LehangaCholiPhotoMaker,Lehanga Choli Photo Maker,kings store,Photography,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.kingsstore.LehangaCholiPhotoMaker,https://kingsstore14.blogspot.com/p/privacy-policy.html,1
78,com.hotti.android,"Hotti Dating: Chat, Meet, Date",Venta Solutions PTE. Ltd,Dating,10K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.hotti.android,https://www.hotti.com/privacy-policy/,1
79,com.ramnavami.ramanavamiphotoframes,Rama Navami Photo Frames,Andro home,Photography,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.ramnavami.ramanavamiphotoframes,http://androhomeprivacypolicy.blogspot.com/,1
80,com.meetoutside.meetoutsideapp,"Video Dating, Chat, Meet",MeetOutside.com,Dating,10K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.meetoutside.meetoutsideapp,http://www.meetoutside.com/WebPages/MO_PrivacyPolicy.aspx,1
81,com.veggly,Veggly – Vegan Dating App,Similar Souls do Brasil,Dating,500K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.veggly,http://www.veggly.net/privacy-policy/,1
82,com.shivajijayantiphotoframes,Shivaji Jayanti PhotoFrames HD,Andro home,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.shivajijayantiphotoframes,http://androhomeprivacypolicy.blogspot.com/,1
83,com.kingsstore.GirlsPhotoSuitsEditor,Girls Photo Suits Editor,kings store,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.kingsstore.GirlsPhotoSuitsEditor,https://kingsstore14.blogspot.com/p/privacy-policy.html,1
84,de.appfiction.yocutiegoogle,YoCutie - Dating. Flirt. Chat.,App Fiction GmbH,Dating,5M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=de.appfiction.yocutiegoogle,https://www.yocutie.com/privacy,1
85,singles420.entrision.com.singles420,420 Singles,420 Singles,Dating,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=singles420.entrision.com.singles420,http://420singles.com/privacy_policy.html,1
86,com.chinalove,ZenDate - Meet Asian Singles,Asteri Solutions Limited,Dating,500K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.chinalove,https://www.zendate.com/privacy-policy/,1
87,com.mvltrapps.srirama.navami.photo.frame.effect,Sri Rama Navami photo frames,MVLTR Apps,Photography,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.mvltrapps.srirama.navami.photo.frame.effect,https://mvltrapps.com/privacy-policy.php,1
88,com.telestra.art.painting.artistic.photography,Artistic Photo Style Transfer,Telestra Infratech Pvt Ltd.,Photography,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.telestra.art.painting.artistic.photography,https://www.app-privacy-policy.com/live.php?token=gwxDvvNsOdnsgEpjMF3pV3psWPHTEXoq,1
89,com.kingsstore.IndianBrideWeddingPhotoMontage,Indian Bride Wedding Suit,kings store,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.kingsstore.IndianBrideWeddingPhotoMontage,https://kingsstore14.blogspot.com/p/privacy-policy.html,1
90,com.km.musicslideshow,Music Show - Video Slideshow,Dexati,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.km.musicslideshow,https://www.dexati.com/privacy1android.html,1
91,com.mvltrapps.selfiephotoframemaker,Selfie photo frames,MVLTR Apps,Photography,500K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.mvltrapps.selfiephotoframemaker,https://mvltrapps.com/privacy-policy.php,1
92,com.kingsstore.GirlsDesignerFrockPhotoEditor,Girls Designer Frock Suits,kings store,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.kingsstore.GirlsDesignerFrockPhotoEditor,https://kingsstore14.blogspot.com/p/privacy-policy.html,1
93,com.photo.editor.makeup.face,Photo Lite - Photo Editor,Family Photo Frame,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.photo.editor.makeup.face,http://www.privacypolicycenter.com/view.php?v=cExXNXhtdjZzVC95QWZ6aEFjeUZQQT09&n=Anylight---Photo-Editor,1
94,com.appwallet.ValentinesDayFrames,Valentine's Day Photo Frame,Appwallet Technologies,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.appwallet.ValentinesDayFrames,http://www.appwallettech.com/privacy-policy-appwallet/,1
95,com.brotechllc.thebroapp,The Bro App (BRO),BroTech LLC,Dating,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.brotechllc.thebroapp,http://www.broapp.com/privacy,1
96,com.kingsstore.BabyGirlPhotoSuits,Baby Girl Photo Suits,kings store,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.kingsstore.BabyGirlPhotoSuits,https://kingsstore14.blogspot.com/p/privacy-policy.html,1
97,com.calcam.oldfilter,"Cal Cam, Daily Photo Editor",Cal Cam Team,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.calcam.oldfilter,http://www.calcamteam.com/html/CalCamPrivacyPolicy.html,1
98,com.loveawake.chat,Loveawake Dating & Chat App,Loveawake,Dating,10K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.loveawake.chat,https://www.loveawake.com/special/policy/,1
99,valentine.photo.frame.editor,Valentine's Day Photo Frame,MexPro Inc.,Photography,500K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=valentine.photo.frame.editor,http://maxproapp.us/maxpro/policy.html,1
100,com.photoeditor.blender.picsblend,Pics Blend - Background Eraser,"Blur Photo Editor, Background Changer of Photo Lab",Photography,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.photoeditor.blender.picsblend,http://picsblend.picseditor.top/PrivacyPolicy,1
101,com.aimdate.loveinasia,LoveInAsia - Asian Dating,AimDate LLC,Dating,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.aimdate.loveinasia,https://lovein.asia/page/privacy-policy,1
102,com.passportsizephoto.passportphotomaker,Passport Size Photo Maker,Pixels Dev Studio,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.passportsizephoto.passportphotomaker,https://pixelsdevphotoapps.blogspot.com/p/privacy-policy.html,1
103,com.wedding.weddinginvitation,Wedding Invitation Card Maker,Nilesh Jain,Photography,1M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.wedding.weddinginvitation,https://sites.google.com/view/nilesh-privacy/privacy-policy,1
104,com.weloveapps.latindating,"Latin Dating - Flirt, Meeting,",WeLoveApps,Dating,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.weloveapps.latindating,https://dating-app.weloveapps.org/web/rules/policies,1
105,com.splento.food,Splento: Food Photography,Splento,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.splento.food,https://www.splento.com/terms/privacy,1
106,fiori.transgender,Fiorry: Transgender Dating,Fiorry Social Ltd,Dating,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=fiori.transgender,https://fiorry.co/privacy-policy,1
107,com.devlobis.goodmorninglove,Good Morning My Love Gif,Devlobis,Dating,10K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.devlobis.goodmorninglove,https://sites.google.com/view/devlobisapps/privacy-policy,1
108,com.sweetringplus.android,"SweetRing - Meet, Match, Date",SweetRing,Dating,5M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.sweetringplus.android,https://www.sweetring.com/rules/app/rules_privacy_policy_m.php?locale=en_US,1
109,com.ram.birthdayphotoframes,Birthday Photo Frames,RamkumarApps,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.ram.birthdayphotoframes,https://ramkumarapps.blogspot.com/2022/07/ramkumar-apps-privacy-policy.html,1
110,com.jazzyworlds.photopixel,Photo Pixel Shattering Effect,Jazzy Worlds,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.jazzyworlds.photopixel,https://sites.google.com/view/jazzyworld,1
111,com.ram.lovephotoframes,Love Photo Frames,RamkumarApps,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.ram.lovephotoframes,https://ramkumarapps.blogspot.com/2022/07/ramkumar-apps-privacy-policy.html,1
112,com.jazzyworlds.paintandsketcheffect,Photo Paint & Sketch Effect,Jazzy Worlds,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.jazzyworlds.paintandsketcheffect,https://sites.google.com/view/jazzyworld,1
113,com.km.photogridbuilder,Picture Grid Builder,Dexati,Photography,10M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.km.photogridbuilder,http://www.dexati.com/privacy2android.html,1
114,com.aimdate.thaiflirting,ThaiFlirting - Thai Dating,AimDate LLC,Dating,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.aimdate.thaiflirting,https://thaiflirting.com/page/privacy-policy,1
115,com.etoolkit.photoeditor,FitPix - Photo Editor,eToolkit Inc,Photography,1M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.etoolkit.photoeditor,https://fitpix.app/privacy-policy.html,1
116,love.photo.frame.editor,Romantic Love Photo Editor,MexPro Inc.,Photography,1M+,14-10-2023,https://play.google.com/store/apps/datasafety?id=love.photo.frame.editor,https://maxproapp.us/Policy/privacy.html,1
117,com.bluestar.good.morning,Good Morning And Night Images,blue star,Photography,50K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.bluestar.good.morning,https://sites.google.com/view/bluestare/,1
118,dating.hookup.apps,Casualx Hookup: Hook Up Dating,Casualx Personals,Dating,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=dating.hookup.apps,https://www.casualxmail.com/privacy.html,1
119,com.jazzyworlds.photoeffect3d,3D Photo Effect,Jazzy Worlds,Photography,100K+,14-10-2023,https://play.google.com/store/apps/datasafety?id=com.jazzyworlds.photoeffect3d,https://sites.google.com/view/jazzyworld,1
